tax_id,GeneID,PubMed_ID
9,1246500,9873079
9,1246501,9873079
9,1246502,9873079
9,1246503,9873079
9,1246504,9873079
9,1246505,9873079
9,1246509,10984505
9,1246510,10984505
9,3722426,9873079
9,8655732,16413149
9,8655733,16413149
9,8655734,16413149
9,8655735,16413149
9,8655736,16413149
9,20468915,9872768
9,20468916,9872768
33,5961931,18245244
33,5961932,18245244
33,5961933,18245244
33,5961934,18245244
33,5961935,18245244
33,5961936,18245244
33,5961937,18245244
33,5961938,18245244
33,5961939,18245244
33,5961940,18245244
33,5961941,18245244
33,5961942,18245244
33,5961943,18245244
33,5961944,18245244
33,5961945,18245244
33,5961946,18245244
33,5961947,18245244
33,5961948,18245244
33,5961949,18245244
33,5961950,18245244
33,5961951,18245244
33,5961952,18245244
33,5961953,18245244
139,1343045,10678977
139,1343046,10678977
139,1343047,10678977
139,1343048,10678977
139,1343049,10678977
139,1343050,10678977
139,1343051,10678977
139,1343052,10678977
139,1343053,10678977
139,1343054,10678977
139,1343055,10678977
139,1343056,10678977
139,1343057,10678977
139,1343058,10678977
139,1343059,10678977
139,1343060,10678977
139,1343061,10678977
139,1343062,10678977
139,1343063,10678977
139,1343064,10678977
139,1343065,10678977
139,1343066,10678977
139,1343067,10678977
139,1343068,10678977
139,1343069,10678977
139,1343070,10678977
139,1343071,10678977
139,1343072,10678977
139,1343073,10678977
139,1343074,10678977
139,1343075,10678977
139,4362664,8169221
139,4362665,8169221
139,4362666,8169221
139,4362667,8169221
139,4362668,8169221
139,4362669,8169221
139,4362670,8169221
139,4362671,8169221
139,4362672,8169221
139,4362673,8169221
139,4362674,8169221
139,4594753,8932323
139,4594754,8932323
139,4594755,8932323
139,4594756,8932323
139,4594757,8932323
139,4594758,8932323
139,4594759,8932323
139,4594760,8932323
139,4594761,8932323
139,4594762,8932323
139,4594763,8932323
139,4594764,8932323
139,4594765,8932323
139,4594766,8932323
139,13917590,23692497
139,13917590,23962611
139,13917590,24363169
139,13917590,26438793
139,13917590,26953324
139,13917590,28142214
139,13917590,29921537
140,16190843,23749977
140,16190844,23749977
140,16190845,23749977
140,16190846,23749977
140,16190847,23749977
140,16190848,23749977
140,16190850,23749977
140,16190851,23749977
140,16190852,23749977
140,16190853,23749977
140,16190854,23749977
140,16190855,23749977
140,16190856,23749977
140,16190857,23749977
140,16190858,23749977
140,16190859,23749977
140,16190860,23749977
140,16190861,23749977
140,16190862,23749977
140,16190863,23749977
140,16190864,23749977
140,16190865,23749977
140,16190866,23749977
140,16190867,23749977
140,16190868,23749977
140,16190869,23749977
140,16190870,23749977
140,16190871,23749977
140,16190872,23749977
140,16190873,23749977
140,16190874,23749977
140,16190875,23749977
140,16190876,23749977
140,16190877,23749977
140,16190878,23749977
140,16190879,23749977
140,16190880,23749977
140,16190881,23749977
140,16190882,23749977
140,16190883,23749977
140,16190884,23749977
140,16190885,23749977
140,16190886,23749977
140,16190887,23749977
140,16190888,23749977
140,16190889,23749977
140,16190890,23749977
140,16190891,23749977
140,16190892,23749977
140,16190893,23749977
140,16190894,23749977
140,16190895,23749977
140,16190896,23749977
140,16190897,23749977
140,16190898,23749977
140,16190899,23749977
140,16190900,23749977
140,16190901,23749977
140,16190902,23749977
140,16190903,23749977
140,16190904,23749977
140,16190905,23749977
140,16190906,23749977
140,16190907,23749977
140,16190908,23749977
140,16190909,23749977
140,16190910,23749977
140,16190911,23749977
140,16190912,23749977
140,16190913,23749977
140,16190914,23749977
140,16190915,23749977
140,16190916,23749977
140,16190917,23749977
140,16190918,23749977
140,16190919,23749977
140,16190920,23749977
140,16190921,23749977
140,16190922,23749977
140,16190923,23749977
140,16190924,23749977
140,16190925,23749977
140,16190926,23749977
140,16190927,23749977
140,16190928,23749977
140,16190929,23749977
140,16190930,23749977
140,16190931,23749977
140,16190932,23749977
140,16190933,23749977
140,16190934,23749977
140,16190935,23749977
140,16190936,23749977
140,16190937,23749977
140,16190938,23749977
140,16190939,23749977
140,16190940,23749977
140,16190941,23749977
140,16190942,23749977
